ADDRESS,COMM_CODE,COMM_NAME,ASSESSMENT_CLASS,ASSESSMENT_CLASS_DESCRIPTION,YEAR_OF_CONSTRUCTION,PROPERTY_TYPE,LAT,LON,LAND_SIZE_SM,LAND_SIZE_SF,ASSESSED_VALUE
303 211 13 AV SE,BLN,BELTLINE,RE,Residential,2010,LI,51.0398951,-114.0607103,3484.8,37512.0,410000
19V 1121 6 AV SW,DNW,DOWNTOWN WEST END,RE,Residential,2003,LI,51.0480232,-114.0871671,3130.0,33692.0,37000
186 SOMERSIDE PA SW,SOM,SOMERSET,RE,Residential,1995,LI,50.9016174,-114.0940739,303.6,3268.0,538000
614 8880 HORTON RD SW,HAY,HAYSBORO,RE,Residential,2006,LI,50.9741203,-114.0748528,5091.0,54801.0,330000
116 2144 PALISWOOD RD SW,PAL,PALLISER,RE,Residential,1995,LI,50.9707266,-114.1082602,7940.0,85465.0,505500
6587 DALRYMPLE WY NW,DAL,DALHOUSIE,RE,Residential,1976,LI,51.1123839,-114.1642578,696.4,7497.0,801500
205 881 SAGE VALLEY BV NW,SGH,SAGE HILL,RE,Residential,2012,LI,51.1750323,-114.1546818,1204.7,12967.0,427500
940 LAKE ARROW WY SE,LKB,LAKE BONAVISTA,RE,Residential,1972,LI,50.9346802,-114.0450324,464.2,4997.0,981500
509 LIVINGSTON HL NE,LIV,LIVINGSTON,RE,Residential,2021,LI,51.1869727,-114.057906,393.5,4236.0,867000
624 HUNTERSTON CR NW,HUN,HUNTINGTON HILLS,RE,Residential,1969,LI,51.1234074,-114.0749837,531.2,5717.0,721500
11441 ROCKYVALLEY DR NW,ROC,ROCKY RIDGE,RE,Residential,2002,LI,51.1480747,-114.2544195,514.0,5533.0,777500
60 HIDDEN GR NW,HID,HIDDEN VALLEY,RE,Residential,1994,LI,51.1456735,-114.1170843,335.3,3610.0,550500
12 37 ST SW,SPR,SPRUCE CLIFF,RE,Residential,1955,LI,51.0534527,-114.1405181,665.7,7166.0,1000000
13 EVERBROOK DR SW,EVE,EVERGREEN,RE,Residential,2005,LI,50.9177758,-114.1104968,435.8,4691.0,829000
82 ARBOUR WOOD CR NW,ARB,ARBOUR LAKE,RE,Residential,1995,LI,51.1309569,-114.2078529,445.5,4795.0,694000
118 PATINA PT SW,PAT,PATTERSON,RE,Residential,1994,LI,51.0582738,-114.1695919,18300.0,196979.0,432000
36 SPRING WILLOW CL SW,SPH,SPRINGBANK HILL,RE,Residential,2021,LI,51.0324093,-114.2053131,19100.0,205597.0,668500
77 COPPERFIELD CM SE,CPF,COPPERFIELD,RE,Residential,2005,LI,50.908808,-113.9360885,422.4,4547.0,638500
50 HIDDEN RIDGE CL NW,HID,HIDDEN VALLEY,RE,Residential,1995,LI,51.1504688,-114.1133827,527.8,5681.0,901500
9 SAGE MEADOWS CI NW,SGH,SAGE HILL,RE,Residential,2019,LI,51.1731228,-114.1330543,112.9,1215.0,565500
159 210 AV SW,BLM,BELMONT,NR,Non-residential,2000,LI,50.8632087,-114.0362079,84000.0,904198.0,3680000
20 COUNTRY HILLS LD NW,COU,COUNTRY HILLS,NR,Non-residential,2000,LI,51.1426076,-114.0720198,3910.0,42088.0,2360000
1006 18 AV SE,RAM,RAMSAY,RE,Residential,2013,LI,51.0374101,-114.0392107,259.5,2794.0,962500
116 WOLF CREEK GD SE,WWO,WOLF WILLOW,RE,Residential,2023,LI,50.8733221,-114.0058636,263.2,2833.0,706500
5819 DALGLEISH RD NW,DAL,DALHOUSIE,RE,Residential,1969,LI,51.1057378,-114.1539156,731.3,7872.0,1020000
30 TUSCANY SPRINGS PL NW,TUS,TUSCANY,RE,Residential,2002,LI,51.1351019,-114.2402541,289.2,3113.0,598000
40 DEERMONT WY SE,DRG,DEER RIDGE,RE,Residential,1978,LI,50.9282167,-114.0164273,527.2,5675.0,587000
412 MIDPARK BV SE,MID,MIDNAPORE,RE,Residential,1986,LI,50.9086931,-114.0580059,440.1,4738.0,636000
120 ROCKY RIDGE LD NW,ROC,ROCKY RIDGE,RE,Residential,1997,LI,51.1455208,-114.2373134,504.2,5427.0,874500
438 COPPERSTONE MR SE,CPF,COPPERFIELD,RE,Residential,2021,LI,50.9119185,-113.9292224,45673.7,491644.0,576500
260 HIDDEN VALLEY GV NW,HID,HIDDEN VALLEY,RE,Residential,1998,LI,51.1478607,-114.1028428,437.9,4714.0,751500
47 CITYLINE PT NE,CSC,CITYSCAPE,RE,Residential,2023,LI,51.1402333,-113.9517004,288.8,3109.0,652000
5222 MARBANK DR NE,MRL,MARLBOROUGH,RE,Residential,1975,LI,51.0622751,-113.9589502,263.4,2836.0,396000
108 11170 30 ST SW,CED,CEDARBRAE,RE,Residential,2005,LI,50.9532233,-114.1289929,2217.0,23864.0,326000
2340 6 AV NW,WHL,WEST HILLHURST,RE,Residential,1977,LI,51.0582763,-114.1151555,301.9,3250.0,563000
16 MILLCREST GR SW,MLR,MILLRISE,RE,Residential,1983,LI,50.9146948,-114.0875725,527.7,5681.0,538500
92 BRIDLEWOOD CI SW,BRI,BRIDLEWOOD,RE,Residential,1997,LI,50.9037342,-114.0997916,475.0,5113.0,711000
3130 2 ROYAL VISTA LI NW,RYV,ROYAL VISTA,NR,Non-residential,2020,LI,51.1532865,-114.2047005,10318.8,111075.0,657000
135 RANCHRIDGE DR NW,RAN,RANCHLANDS,RE,Residential,1981,LI,51.1228564,-114.1854162,371.9,4003.0,521000
37 SUN HARBOUR WY SE,SDC,SUNDANCE,RE,Residential,1989,LI,50.8962821,-114.0324126,478.2,5147.0,664500
218 PANORAMA HILLS LN NW,PAN,PANORAMA HILLS,RE,Residential,2000,LI,51.1535299,-114.068401,408.0,4392.0,690000
26 WEST GROVE ME SW,WSP,WEST SPRINGS,RE,Residential,2019,LI,51.0548693,-114.1946152,341.0,3671.0,1120000
71S 228 26 AV SW,MIS,MISSION,RE,Residential,2000,LI,51.0300439,-114.0680646,2400.0,25833.0,3000
80 COUNTRY HILLS WY NW,COU,COUNTRY HILLS,RE,Residential,1997,LI,51.148993,-114.0684269,291.0,3132.0,488000
52 SKYVIEW RANCH LN NE,SKR,SKYVIEW RANCH,RE,Residential,2013,LI,51.1637383,-113.9490762,249.4,2685.0,550000
45 CREEKSTONE MR SW,PCK,PINE CREEK,RE,Residential,2024,LI,50.8581208,-114.0694072,405.9,4369.0,385000
303 832 4A ST NE,REN,RENFREW,RE,Residential,1978,LI,51.0594927,-114.0506909,592.0,6372.0,277500
259 CORAL SPRINGS CI NE,COR,CORAL SPRINGS,RE,Residential,1995,LI,51.108479,-113.9317958,346.6,3731.0,539000
104A 11 ST NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,2021,LI,51.0526238,-114.0362433,219.5,2363.0,1020000
710 5204 DALTON DR NW,DAL,DALHOUSIE,RE,Residential,1981,LI,51.100451,-114.1491096,7365.8,79285.0,214000
272V 550 RIVERFRONT AV SE,DNE,DOWNTOWN EAST VILLAGE,RE,Residential,2012,LI,51.0475453,-114.0495841,3053.7,32871.0,37000
172 MT SELKIRK CL SE,MCK,MCKENZIE LAKE,RE,Residential,1997,LI,50.9174519,-113.9870596,406.7,4378.0,711000
569V 155 SKYVIEW RANCH WY NE,SKR,SKYVIEW RANCH,RE,Residential,2012,LI,51.1648283,-113.9641307,2553.4,27485.0,10000
902 300 MEREDITH RD NE,CRE,CRESCENT HEIGHTS,RE,Residential,1978,LI,51.0534089,-114.0559754,5493.9,59136.0,299000
2406 1317 27 ST SE,ALB,ALBERT PARK/RADISSON HEIGHTS,RE,Residential,2013,LI,51.0412665,-113.9960909,1256.0,13520.0,296500
14231 PARKLAND BV SE,PKL,PARKLAND,RE,Residential,1975,LI,50.9245916,-114.029263,579.6,6239.0,731500
39 EDCATH RD NW,EDG,EDGEMONT,RE,Residential,1985,LI,51.1220378,-114.1426275,559.4,6021.0,1030000
352 COPPERPOND BV SE,CPF,COPPERFIELD,RE,Residential,2011,LI,50.9241956,-113.928317,287.4,3094.0,553500
416 BRIDLEMEADOWS CM SW,BRI,BRIDLEWOOD,RE,Residential,2005,LI,50.898127,-114.1154236,385.2,4146.0,606500
7804 34 AV NW,BOW,BOWNESS,RE,Residential,1963,LI,51.0852001,-114.1995331,517.2,5567.0,522500
1056 CORNERSTONE ST NE,CNS,CORNERSTONE,RE,Residential,2016,LI,51.1621244,-113.9422455,262.8,2828.0,568500
433 LIVINGSTON HL NE,LIV,LIVINGSTON,RE,Residential,2021,LI,51.1862523,-114.056114,377.7,4066.0,871500
12 EDGEFORD WY NW,EDG,EDGEMONT,RE,Residential,1979,LI,51.1204353,-114.1573413,245.2,2639.0,460000
16 MAGNOLIA HE SE,MAH,MAHOGANY,RE,Residential,2020,LI,50.8917081,-113.9212746,386.5,4161.0,1030000
325 MASTERS AV SE,MAH,MAHOGANY,RE,Residential,2022,LI,50.8932462,-113.9200148,340.6,3666.0,775000
79 SIERRA NEVADA GR SW,SIG,SIGNAL HILL,RE,Residential,1997,LI,51.0126599,-114.1859156,429.0,4618.0,783000
2132 70 GLAMIS DR SW,GLA,GLAMORGAN,RE,Residential,1981,LI,51.0151691,-114.1599044,19740.0,212479.0,279000
188 BERWICK DR NW,BED,BEDDINGTON HEIGHTS,RE,Residential,1979,LI,51.1307796,-114.0911889,376.1,4049.0,510000
2214 27 AV SW,RIC,RICHMOND,RE,Residential,2011,LI,51.0295997,-114.1127035,289.9,3121.0,939500
2207 25 AV NW,BNF,BANFF TRAIL,RE,Residential,1954,LI,51.0750838,-114.1106218,557.7,6004.0,812000
132 WHITEFIELD DR NE,WHI,WHITEHORN,RE,Residential,1981,LI,51.0884596,-113.980523,313.4,3374.0,458500
302 838 19 AV SW,LMR,LOWER MOUNT ROYAL,RE,Residential,2002,LI,51.0364658,-114.0802876,3622.7,38995.0,339000
314 626 14 AV SW,BLN,BELTLINE,RE,Residential,2011,LI,51.040312,-114.0750629,2420.0,26050.0,363000
178 EVERGLEN CR SW,EVE,EVERGREEN,RE,Residential,2007,LI,50.9140827,-114.125564,362.1,3898.0,690500
348 SILVERADO DR SW,SVO,SILVERADO,RE,Residential,2008,LI,50.8791323,-114.0780353,311.7,3355.0,477500
184 MAGNOLIA TC SE,MAH,MAHOGANY,RE,Residential,2021,LI,50.8887706,-113.9157207,398.9,4294.0,971500
569V 755 COPPERPOND BV SE,CPF,COPPERFIELD,RE,Residential,2013,LI,50.920606,-113.9195072,2202.8,23712.0,10000
10503 SACRAMENTO DR SW,SOW,SOUTHWOOD,RE,Residential,1966,LI,50.9592681,-114.0771796,590.2,6353.0,615500
50 VALLEY PONDS CR NW,VAL,VALLEY RIDGE,RE,Residential,1998,LI,51.0893866,-114.2529076,512.3,5515.0,661000
7700 41 AV NW,BOW,BOWNESS,RE,Residential,1982,LI,51.0898325,-114.1974891,1254.5,13504.0,3560000
175V 95 BURMA STAR RD SW,CUR,CURRIE BARRACKS,RE,Residential,2015,LI,51.0152099,-114.1297875,11527.4,124084.0,10000
7428 HUNTERTOWN CR NW,HUN,HUNTINGTON HILLS,RE,Residential,1968,LI,51.1192747,-114.0744779,528.0,5684.0,588500
4316 53 ST NE,TEM,TEMPLE,RE,Residential,1979,LI,51.0903858,-113.9551878,513.2,5525.0,643000
101 CITYSCAPE GD NE,CSC,CITYSCAPE,RE,Residential,2014,LI,51.1507444,-113.969047,322.1,3467.0,830000
419 SILVERTHORN WY NW,SIL,SILVER SPRINGS,RE,Residential,1975,LI,51.1123531,-114.2019907,693.1,7461.0,797500
326 SILVERADO WY SW,SVO,SILVERADO,RE,Residential,2011,LI,50.8816461,-114.0825864,427.6,4603.0,735500
8520 CENTRE ST NE,BED,BEDDINGTON HEIGHTS,RE,Residential,1980,LI,51.1321845,-114.0708267,239.8,2581.0,395000
82 CARRINGSBY LD NW,CAR,CARRINGTON,RE,Residential,2020,LI,51.1769174,-114.0870067,379.5,4085.0,966000
49 LEGACY GLEN CR SE,LEG,LEGACY,RE,Residential,2021,LI,50.8550664,-114.0034543,395.6,4258.0,841500
7416 HUNTERFIELD RD NW,HUN,HUNTINGTON HILLS,RE,Residential,1968,LI,51.1191996,-114.0716346,582.3,6268.0,604000
915 24 AV NW,MOP,MOUNT PLEASANT,RE,Residential,2013,LI,51.0736971,-114.0821796,792.9,8536.0,2200000
39 EVERGREEN WY SW,EVE,EVERGREEN,RE,Residential,1997,LI,50.9252959,-114.0970873,476.7,5131.0,842500
202 4455D GREENVIEW DR NE,GRV,GREENVIEW,RE,Residential,1973,LI,51.0919979,-114.0576622,10553.9,113604.0,230500
6516 LARKSPUR WY SW,NGM,NORTH GLENMORE PARK,RE,Residential,1960,LI,50.9957731,-114.1149121,642.3,6914.0,967500
543 ABOYNE CR NE,ABB,ABBEYDALE,RE,Residential,1978,LI,51.0620573,-113.9338311,232.6,2504.0,396500
116 SCIMITAR HE NW,SCE,SCENIC ACRES,RE,Residential,2000,LI,51.1060781,-114.213957,384.4,4138.0,560000
241 22 AV NW,TUX,TUXEDO PARK,RE,Residential,1947,LI,51.0720098,-114.0663141,580.5,6249.0,716500
457 SADDLELAKE DR NE,SAD,SADDLE RIDGE,RE,Residential,2013,LI,51.1322306,-113.9339074,348.0,3746.0,904000
3820 44 AV NE,WHI,WHITEHORN,RE,Residential,1981,LI,51.0912962,-113.9783104,310.7,3345.0,466500
3 MACEWAN GLEN WY NW,MAC,MACEWAN,RE,Residential,1981,LI,51.1313745,-114.1129157,441.9,4757.0,566500
102 903 19 AV SW,LMR,LOWER MOUNT ROYAL,RE,Residential,1968,LI,51.0356165,-114.0819861,2304.0,24800.0,187000
971 MCKENZIE DR SE,MCK,MCKENZIE LAKE,RE,Residential,1984,LI,50.9030432,-113.9819779,402.0,4327.0,600500
2517 14 AV SE,ALB,ALBERT PARK/RADISSON HEIGHTS,RE,Residential,1956,LI,51.0400736,-114.0004292,555.5,5979.0,433000
135 PRESTWICK LD SE,MCT,MCKENZIE TOWNE,RE,Residential,1999,LI,50.9183901,-113.9670585,421.5,4538.0,574000
2216 200 SETON CI SE,SET,SETON,RE,Residential,2022,LI,50.870476,-113.955486,2390.0,25727.0,450500
3736 35 AV SW,RUT,RUTLAND PARK,RE,Residential,1957,LI,51.0219953,-114.1397325,543.1,5846.0,760000
164V 2371 EVERSYDE AV SW,EVE,EVERGREEN,RE,Residential,2005,LI,50.9079245,-114.1129162,6735.0,72497.0,10000
108 ABBERCOVE WY SE,ABB,ABBEYDALE,RE,Residential,1982,LI,51.0507573,-113.9340939,491.1,5286.0,431500
9120 52 ST NE,SAD,SADDLE RIDGE,RE,Residential,2017,LI,51.1344238,-113.9581957,249.4,2685.0,574500
304 314 14 ST NW,HIL,HILLHURST,RE,Residential,1969,LI,51.0537987,-114.094028,2090.0,22497.0,186000
207 SHAWNEE ME SW,SHS,SHAWNEE SLOPES,RE,Residential,1988,LI,50.9263317,-114.0821071,539.3,5805.0,773500
127 LEGACY REACH CO SE,LEG,LEGACY,RE,Residential,2024,LI,50.8588222,-113.9994032,278.1,2993.0,630000
2620 SIGNAL RIDGE VW SW,SIG,SIGNAL HILL,RE,Residential,1989,LI,51.0312728,-114.1709855,529.5,5700.0,1110000
203 17 AV NE,TUX,TUXEDO PARK,RE,Residential,1945,LI,51.067467,-114.0593629,579.7,6240.0,663000
4 CHAPALA SQ SE,CHA,CHAPARRAL,RE,Residential,2003,LI,50.8788656,-114.031925,544.7,5863.0,861500
408 1235 13 AV SW,BLN,BELTLINE,RE,Residential,2002,LI,51.0411676,-114.0907695,1512.0,16275.0,300000
16 PANATELLA LN NW,PAN,PANORAMA HILLS,RE,Residential,2005,LI,51.1664577,-114.0720664,447.4,4816.0,737000
196 EDGEDALE WY NW,EDG,EDGEMONT,RE,Residential,1979,LI,51.1169066,-114.1550922,376.8,4056.0,598500
7613 22 ST SE,OGD,OGDEN,RE,Residential,1975,LI,50.9845415,-114.0060856,278.8,3001.0,398000
163 COVEPARK PL NE,COV,COVENTRY HILLS,RE,Residential,2004,LI,51.168255,-114.0551226,289.7,3119.0,565500
106 6600 OLD BANFF COACH RD SW,PAT,PATTERSON,RE,Residential,1999,LI,51.0621115,-114.1826946,2305.0,24810.0,256500
408 930 16 AV SW,BLN,BELTLINE,RE,Residential,2015,LI,51.0384627,-114.0834713,1019.0,10969.0,231500
173 CRESTRIDGE WY SW,CRM,CRESTMONT,RE,Residential,2004,LI,51.0853392,-114.2619595,504.8,5433.0,938500
75V 135 26 AV SW,MIS,MISSION,RE,Residential,2012,LI,51.0288996,-114.0657813,4050.0,43595.0,25000
193 ERIN CI SE,ERI,ERIN WOODS,RE,Residential,1997,LI,51.0168929,-113.9639446,314.9,3390.0,576000
107 TREMBLANT WY SW,SPH,SPRINGBANK HILL,RE,Residential,2006,LI,51.0342235,-114.2145964,453.5,4882.0,938500
83 NEW BRIGHTON CM SE,NEB,NEW BRIGHTON,RE,Residential,2008,LI,50.9155526,-113.9437796,310.0,3337.0,434500
267V 135 13 AV SW,BLN,BELTLINE,RE,Residential,2008,LI,51.0404459,-114.0651807,1625.4,17496.0,25000
22 420 GRIER AV NE,GRV,GREENVIEW,RE,Residential,1980,LI,51.0993291,-114.0544048,10805.1,116305.0,247000
304 LYNNVIEW CR SE,OGD,OGDEN,RE,Residential,1975,LI,50.9966233,-114.0202864,545.3,5870.0,568000
69 SPRINGBOROUGH BV SW,SPH,SPRINGBANK HILL,RE,Residential,2002,LI,51.0325305,-114.1928523,499.0,5371.0,1150000
325 117 COPPERPOND CM SE,CPF,COPPERFIELD,RE,Residential,2013,LI,50.9240146,-113.9335368,2478.2,26676.0,190500
119 CHAPALA CR SE,CHA,CHAPARRAL,RE,Residential,1998,LI,50.8834787,-114.0307276,499.8,5380.0,779500
275 COPPERFIELD GR SE,CPF,COPPERFIELD,RE,Residential,2005,LI,50.9116318,-113.9426892,352.3,3792.0,705500
171 MIDBEND CR SE,MID,MIDNAPORE,RE,Residential,1979,LI,50.9092869,-114.0591607,378.8,4078.0,571500
7616 25 ST SE,OGD,OGDEN,RE,Residential,1960,LI,50.984412,-113.9995804,561.1,6040.0,566500
813 PANORAMA HILLS DR NW,PAN,PANORAMA HILLS,RE,Residential,1999,LI,51.1508126,-114.0851611,470.0,5059.0,652000
10808 SHAMROCK PL SW,SOW,SOUTHWOOD,RE,Residential,1968,LI,50.9562417,-114.0797698,668.6,7197.0,629000
5207 13531 DEER RUN BV SE,DRN,DEER RUN,RE,Residential,1981,LI,50.9314092,-114.0103809,27680.2,297947.0,185500
4212 BOWLEN ST NW,BRE,BRENTWOOD,RE,Residential,1961,LI,51.0923328,-114.1213811,547.1,5889.0,745000
2048 26 ST SE,SOV,SOUTHVIEW,RE,Residential,1931,LI,51.0342016,-113.9943257,557.4,6000.0,641500
19 TEMPLEBOW WY NE,TEM,TEMPLE,RE,Residential,1979,LI,51.0947345,-113.9473434,464.2,4997.0,625000
1394 148 AV NW,CAR,CARRINGTON,RE,Residential,2022,LI,51.187414,-114.0917365,121.0,1302.0,531500
23 SHANNON HL SW,SHN,SHAWNESSY,RE,Residential,1991,LI,50.9135922,-114.0909012,513.4,5527.0,589500
29 7205 4 ST NE,HUN,HUNTINGTON HILLS,RE,Residential,1977,LI,51.1136586,-114.0563212,71308.1,767554.0,296500
48 TUSCANY RIDGE PL NW,TUS,TUSCANY,RE,Residential,2002,LI,51.120065,-114.2489007,464.8,5003.0,1010000
69 SIMCOE CL SW,SIG,SIGNAL HILL,RE,Residential,2001,LI,51.0324651,-114.1860851,503.3,5417.0,1020000
5327 5 AV SE,PEN,PENBROOKE MEADOWS,RE,Residential,1971,LI,51.0485309,-113.9542718,408.2,4394.0,421500
277 PANTON WY NW,PAN,PANORAMA HILLS,RE,Residential,2013,LI,51.1718777,-114.0888959,355.2,3823.0,703500
220 WALDEN PH SE,WAL,WALDEN,RE,Residential,2015,LI,50.8674178,-114.0292429,107.8,1160.0,470500
624 26 AV NE,WIN,WINSTON HEIGHTS/MOUNTVIEW,RE,Residential,1962,LI,51.0761546,-114.0489995,664.4,7152.0,747000
63V 5500 SOMERVALE CO SW,SOM,SOMERSET,RE,Residential,2003,LI,50.8949566,-114.0694289,6090.0,65554.0,10000
10719 MAPLEGLEN CR SE,MPL,MAPLE RIDGE,RE,Residential,1967,LI,50.9578712,-114.0370991,503.6,5421.0,756500
96S 310 MCKENZIE TOWNE GA SE,MCT,MCKENZIE TOWNE,RE,Residential,2010,LI,50.913886,-113.9559587,3157.4,33987.0,2500
44 WOOD CREST CL SW,WOO,WOODLANDS,RE,Residential,1979,LI,50.9343526,-114.1145343,1086.7,11697.0,811500
218 SETON PS SE,SET,SETON,RE,Residential,2018,LI,50.8758754,-113.9482349,22447.0,241625.0,509500
5060 NESBITT RD NW,NHV,NORTH HAVEN,RE,Residential,1966,LI,51.0999723,-114.0821052,532.7,5734.0,723000
75 4511 GLENMORE TR SE,SFH,SOUTH FOOTHILLS,NR,Non-residential,2007,LI,50.9785938,-113.9698577,12156.0,130850.0,568500
147 CHEROVAN DR SW,CHK,CHINOOK PARK,RE,Residential,1959,LI,50.9849358,-114.0842446,718.7,7737.0,813000
86 HARVEST WOOD WY NE,HAR,HARVEST HILLS,RE,Residential,1990,LI,51.1524507,-114.049652,517.8,5574.0,653500
414 SADDLECREEK WY NE,SAD,SADDLE RIDGE,RE,Residential,2002,LI,51.1296566,-113.9553706,390.7,4205.0,758000
116 WOLF HOLLOW CR SE,WWO,WOLF WILLOW,RE,Residential,2020,LI,50.8745852,-114.001773,320.0,3445.0,828500
904 38 9 ST NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,2014,LI,51.0494309,-114.0394334,4610.0,49623.0,500000
42 SIGNATURE CL SW,SIG,SIGNAL HILL,RE,Residential,1989,LI,51.0335562,-114.1704097,698.7,7521.0,987000
48 RUNDLELAWN CL NE,RUN,RUNDLE,RE,Residential,1977,LI,51.0803532,-113.9764066,482.8,5197.0,512000
115 EAGLE RIDGE DR SW,EAG,EAGLE RIDGE,RE,Residential,1964,LI,50.9844466,-114.0981264,1509.2,16245.0,2070000
167V 2416 ERLTON ST SW,ERL,ERLTON,RE,Residential,2003,LI,51.0318411,-114.0619278,2455.9,26436.0,15000
149 TARALEA CI NE,TAR,TARADALE,RE,Residential,2005,LI,51.1166461,-113.9362443,299.3,3221.0,552000
14 SCANLON HL NW,SCE,SCENIC ACRES,RE,Residential,1990,LI,51.1236773,-114.2196142,456.3,4911.0,813500
1908 29 AV SW,SOC,SOUTH CALGARY,RE,Residential,2003,LI,51.028014,-114.1050058,290.4,3126.0,900000
44 BEACONSFIELD WY NW,BED,BEDDINGTON HEIGHTS,RE,Residential,1980,LI,51.129381,-114.1025683,457.6,4926.0,602000
4805 WESTWINDS DR NE,WES,WESTWINDS,NR,Non-residential,2001,LI,51.0998243,-113.9640696,5660.0,60926.0,896500
228 MAHOGANY BA SE,MAH,MAHOGANY,RE,Residential,2011,LI,50.9006165,-113.9354348,1071.5,11534.0,1230000
7780 SPRINGBANK WY SW,SPH,SPRINGBANK HILL,RE,Residential,2001,LI,51.0211471,-114.1985259,501.8,5402.0,847000
104 CITADEL PA NW,CIT,CITADEL,RE,Residential,1994,LI,51.1434475,-114.174011,512.2,5513.0,742000
276 CRANBROOK GD SE,CRA,CRANSTON,RE,Residential,2024,LI,50.8588582,-113.9714816,568.7,6122.0,926000
3101 230 EVERSYDE BV SW,EVE,EVERGREEN,NR,Non-residential,2009,LI,50.9087173,-114.1097958,768.4,8271.0,510000
208 PINEMILL ME NE,PIN,PINERIDGE,RE,Residential,1979,LI,51.0739328,-113.9497045,375.9,4046.0,466000
2304 LANCING AV SW,NGM,NORTH GLENMORE PARK,RE,Residential,1961,LI,50.9954781,-114.1136626,618.4,6657.0,816500
187 HIDDEN SPRING CL NW,HID,HIDDEN VALLEY,RE,Residential,1994,LI,51.1501829,-114.1089746,593.0,6383.0,692500
318 HERRON ME NE,LIV,LIVINGSTON,RE,Residential,2023,LI,51.1882957,-114.0496576,270.2,2909.0,683000
31 448 STRATHCONA DR SW,STR,STRATHCONA PARK,RE,Residential,1980,LI,51.049647,-114.1737226,12731.1,137037.0,463000
130 BRIGHTONCREST GV SE,NEB,NEW BRIGHTON,RE,Residential,2009,LI,50.9265235,-113.9517447,276.3,2974.0,545000
1523 17 AV NW,CAP,CAPITOL HILL,RE,Residential,1947,LI,51.0677674,-114.0959588,557.2,5998.0,733500
507 BROOKMERE CR SW,BRA,BRAESIDE,RE,Residential,1977,LI,50.9581841,-114.1079703,598.0,6438.0,582500
180V 168 ST MORITZ DR SW,SPH,SPRINGBANK HILL,RE,Residential,2006,LI,51.0364051,-114.2154475,13350.0,143703.0,10000
2336 CHICOUTIMI DR NW,CHW,CHARLESWOOD,RE,Residential,1960,LI,51.0866783,-114.1149077,510.6,5497.0,932000
1312 17 AV NW,CAP,CAPITOL HILL,RE,Residential,1946,LI,51.0682802,-114.0903861,557.1,5996.0,724000
313 315 HERITAGE DR SE,ACA,ACADIA,RE,Residential,1968,LI,50.9794398,-114.0628936,18738.2,201696.0,214500
1315 70 AV SW,KEL,KELVIN GROVE,RE,Residential,1964,LI,50.9904371,-114.0912578,752.0,8095.0,1490000
107 ROYAL ELM WY NW,ROY,ROYAL OAK,RE,Residential,2002,LI,51.1418516,-114.2322701,299.5,3223.0,675000
180 ROCKYWOOD PA NW,ROC,ROCKY RIDGE,RE,Residential,2003,LI,51.1505219,-114.2495008,472.0,5081.0,723500
228 CORAL SPRINGS ME NE,COR,CORAL SPRINGS,RE,Residential,1997,LI,51.1093662,-113.9292511,378.4,4073.0,534500
30 SOMERSIDE MR SW,SOM,SOMERSET,RE,Residential,1996,LI,50.9026081,-114.0958898,335.7,3614.0,680000
73 SIMCOE CI SW,SIG,SIGNAL HILL,RE,Residential,2001,LI,51.0373028,-114.1821657,374.4,4030.0,783500
26 TUSCANY MEADOWS CM NW,TUS,TUSCANY,RE,Residential,2000,LI,51.1171269,-114.2414388,382.8,4121.0,719500
270 AQUILA DR NW,GLR,GLACIER RIDGE,RE,Residential,2022,LI,51.1860158,-114.168657,222.6,2396.0,580500
4503 44 AV NE,WHI,WHITEHORN,RE,Residential,1976,LI,51.0922033,-113.9658182,371.5,3999.0,511000
7627 21 ST SE,OGD,OGDEN,RE,Residential,1959,LI,50.9841194,-114.0089151,557.3,5999.0,553000
106 835 19 AV SW,LMR,LOWER MOUNT ROYAL,RE,Residential,1979,LI,51.0359561,-114.0810479,1669.1,17966.0,239000
2105 BROADVIEW RD NW,WHL,WEST HILLHURST,RE,Residential,2012,LI,51.0497726,-114.1083881,290.2,3123.0,1040000
3123 6818 PINECLIFF GV NE,PIN,PINERIDGE,RE,Residential,2001,LI,51.0756464,-113.9355042,9567.7,102989.0,159000
113 ELGIN MR SE,MCT,MCKENZIE TOWNE,RE,Residential,2005,LI,50.9044802,-113.9687502,385.0,4144.0,656000
137 LAGUNA CL NE,MOR,MONTEREY PARK,RE,Residential,1991,LI,51.082205,-113.9300579,333.0,3585.0,520000
6316 TRAVOIS CR NW,THO,THORNCLIFFE,RE,Residential,1965,LI,51.1087869,-114.0632989,510.6,5496.0,529000
15359 1 ST NW,LIV,LIVINGSTON,RE,Residential,2023,LI,51.191804,-114.0741352,222.8,2398.0,586000
216V 214 12 AV SE,BLN,BELTLINE,RE,Residential,2009,LI,51.0419879,-114.0591167,244.3,2629.0,25000
303 647 1 AV NE,BRD,BRIDGELAND/RIVERSIDE,RE,Residential,1981,LI,51.0531672,-114.0486768,2108.4,22695.0,211500
343 SILVERADO DR SW,SVO,SILVERADO,RE,Residential,2007,LI,50.8792154,-114.0771629,406.1,4371.0,595000
21 STRATHRIDGE WY SW,STR,STRATHCONA PARK,RE,Residential,2000,LI,51.0516425,-114.1935346,564.4,6075.0,1080000
